UserId,"Recommended Listing,Rating"
161964979,"[(20757620, 5), (21392227, 5), (27706379, 5), (33026918, 5), (33219467, 5), (28354743, 5), (25059463, 5), (30478123, 5), (32431240, 5), (13269242, 4.996659723026831), (36710669, 4.989425024969299), (12571141, 4.986147863095781), (7074031, 4.983965570980136), (31560754, 4.983501421242266), (34807142, 4.978454221623937), (24761382, 4.971862834829958), (26775549, 4.970358116637829), (9737142, 4.969928174714256), (5808711, 4.954974645221919), (34721476, 4.949230973796276)]"
294890002,"[(27706379, 5), (7074680, 5), (34594541, 5), (39007434, 5), (35180209, 5), (34721476, 5), (23382685, 5), (35795606, 4.999271424853707), (7939405, 4.959204217991469), (9423171, 4.955337351129585), (33668236, 4.943628825528597), (7074031, 4.941910175178289), (17644939, 4.933139386067247), (27709902, 4.932217683279413), (26720046, 4.924730343761275), (10842899, 4.922618878410518), (33561756, 4.916009377201535), (26775549, 4.91145916441007), (13269242, 4.906439733706059), (27895660, 4.906316130950736)]"
33339029,"[(27709902, 5), (34594541, 5), (36524893, 5), (31089873, 5), (30211589, 4.99574423470031), (18246746, 4.994330879398845), (35180209, 4.978841024235308), (22888825, 4.976985485470309), (16623725, 4.973393269538789), (31560754, 4.971655425610784), (19682798, 4.971270775056278), (25059463, 4.959950584381759), (23382685, 4.9496674750643), (10842899, 4.947191973233262), (26775549, 4.944356484966602), (21392227, 4.942900398203517), (34721476, 4.942516839986634), (28354743, 4.936762202550309), (27895660, 4.933645849806636), (5808711, 4.931300760575958)]"
128663978,"[(7074680, 5), (34594541, 5), (31893286, 5), (30478123, 5), (35180209, 5), (33026918, 4.997021850602449), (32431240, 4.985513545016727), (17644939, 4.983478384116068), (27895660, 4.982435089955189), (5786142, 4.97518764573404), (24761382, 4.964432738006942), (33668236, 4.959304376319841), (23382685, 4.950939573611273), (7074031, 4.95041924295083), (9423171, 4.948891732093119), (38558224, 4.9473105960817785), (20757620, 4.944714979109879), (35527349, 4.938878476873804), (7939405, 4.937367983319455), (32833023, 4.913184235669448)]"
34576508,"[(21392227, 5), (31089873, 5), (35795606, 5), (35180209, 5), (38882146, 5), (31560754, 5), (36524893, 4.991749570555356), (34807142, 4.983139036339433), (27709902, 4.981415744576613), (7074031, 4.980327116399549), (9737142, 4.974010035806986), (13269242, 4.972478646140795), (36710669, 4.967331802176926), (5808711, 4.964753163938287), (10842899, 4.958286136445188), (33331672, 4.945154309448193), (13929647, 4.943818936473372), (38666103, 4.943372786815215), (17800953, 4.942324807824362), (22888825, 4.939221954164952)]"
126678888,"[(31560754, 4.9470777682510505), (9737142, 4.929289249730303), (35795606, 4.9289175770489235), (33331672, 4.911385561625475), (36710669, 4.89767785332497), (21392227, 4.896677976637144), (24761382, 4.896069361312568), (32833023, 4.892193680497822), (38666103, 4.890163332283548), (7074680, 4.883764226257303), (20757620, 4.878764197717602), (18324548, 4.875859555436487), (26775549, 4.874405332462318), (29663009, 4.86535450930143), (10842899, 4.864241865314971), (17644939, 4.855419955785926), (23195306, 4.8510806666343385), (33026918, 4.843737669964698), (34807142, 4.84324745067825), (16623725, 4.842054699391209)]"
123571133,"[(21392227, 4.954292755823841), (19682798, 4.900535349791775), (9737142, 4.871702894381677), (27706379, 4.8624968874726555), (38558224, 4.857302734225424), (5808711, 4.856710836781901), (34807142, 4.849713920738182), (33331672, 4.847361546659703), (33668236, 4.839963982063293), (13269242, 4.838252227347178), (32527502, 4.834038536804682), (36053605, 4.831137638182138), (36710669, 4.827020210708076), (36524893, 4.819458372764135), (38882146, 4.809476974742936), (22863508, 4.8081977561628095), (35180209, 4.803164145041625), (5786142, 4.799429188161343), (27895660, 4.798842696150626), (22888825, 4.795441327605818)]"
20219546,"[(7074031, 5), (7074680, 5), (34834090, 5), (31318675, 5), (7939405, 5), (17800953, 5), (35795606, 5), (24761382, 4.98843540611459), (9737142, 4.973000948341896), (38666103, 4.969503364132114), (32527502, 4.961281521958408), (31560754, 4.958673612776033), (18324548, 4.9568151358300225), (13269242, 4.9556783449476125), (39007434, 4.95363538400917), (34807142, 4.950025329476519), (36524893, 4.946401482412072), (17869419, 4.9458884616232295), (31893286, 4.939025409198244), (31140563, 4.937542511485171)]"
194061826,"[(20757620, 5), (22888825, 5), (34594541, 5), (23195306, 5), (25059463, 5), (39007434, 5), (33561756, 5), (17644939, 5), (26720046, 4.9985670909650235), (28354743, 4.987456239366235), (29663009, 4.982903654731591), (18324548, 4.9791874666425455), (26775549, 4.975217098881874), (35527349, 4.974399717858305), (7939405, 4.966140400034643), (35180209, 4.965800303572775), (19682798, 4.957319370424895), (5808711, 4.954224363815549), (13269242, 4.948110978801326), (39313368, 4.94541472299456)]"
239898321,"[(5786142, 5), (22888825, 4.995576288666713), (22863508, 4.9663411233860675), (38558224, 4.937094497370766), (38666103, 4.930194596886206), (29663009, 4.92845629348716), (39313368, 4.9050502989576295), (30478123, 4.890155576170662), (27709902, 4.888820210809143), (23195306, 4.883462673170964), (25059463, 4.882273950020706), (38882146, 4.880336910177234), (39007434, 4.877443980269493), (18324548, 4.871180376078609), (32527502, 4.867354146097788), (17644939, 4.860587365502203), (18246746, 4.860021920320836), (33331672, 4.858201520612119), (36053605, 4.8532820811241395), (7939405, 4.8477278432377195)]"
